id,doc,line_no,description_text,issue_type,classification,classification_ref,notes
ISS-0068,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,44,Mentions of Coderabbit and Macroscope as mandatory CI checks without visible configuration in `.github/` workflows.,Health,RESEARCH,CI/CD Automation,Claims that Coderabbit and Macroscope are mandatory CI checks are not backed by visible .github configuration; CI setup and available review tools must be researched so workflow-and-ci can accurately describe real automated review gates.
ISS-0069,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,45,Sonar is treated as a required PR check but there is no obvious `sonar-project.properties` or documented Sonar setup.,Health,RESEARCH,CI/CD Automation,Sonar is treated as a required PR check without a sonar-project.properties or documented setup; further investigation is needed to decide whether to introduce Sonar config or remove/soften those requirements in workflow-and-ci and releases-and-versioning.
ISS-0070,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,46,"Conventional Commits are required for final squashed commits, yet no automated enforcement (e.g., commitlint) is documented.",Conflicts,CONFLICT,"Workflow, Releases, CI",Git workflow docs require Conventional Commits for final squashed commits but the repo has no documented commitlint/automation; Phase 5 workflow-and-ci and releases-and-versioning work must either add enforcement or align expectations with the actual tooling.
ISS-0071,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,47,Guidance recommends `--force-with-lease` but does not elaborate on risks of force-pushing or collaboration considerations.,Gaps,CONFLICT,"Workflow, Releases, CI (docs/workflow-and-ci.md)","Git workflow guidance currently recommends `--force-with-lease` without explaining the risks and collaboration considerations of force-pushing; migration_plan.md maps git-workflow content into docs/workflow-and-ci.md, so this remains a workflow/CI documentation gap to resolve in later phases."
ISS-0072,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,48,"Assumes branch protection rules on `main` (required reviews, status checks) that are not documented in-repo.",Gaps,CONFLICT,"Workflow, Releases, CI (docs/workflow-and-ci.md)","The docs assume branch protection rules on main (required reviews, status checks) but these policies are not documented in-repo; no ADR explicitly codifies them, and migration_plan.md routes git-workflow into docs/workflow-and-ci.md, so this is an unresolved workflow/CI documentation gap."
ISS-0073,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,49,"Commit message structure is described here and again in `docs/to_integrate/changesets-guide.md`, creating potential consistency drift.",Duplicates,CONFLICT,"Workflow, Releases, CI (docs/releases-and-versioning.md)","Commit message structure is described both in git-workflow and changesets-guide, and while migration_plan.md maps git-workflow and changesets-guide into workflow-and-ci and releases-and-versioning respectively, it does not specify how to de-duplicate commit message rules, leaving a documentation conflict to be resolved in the Workflow/Releases/CI theme."
ISS-0074,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,50,Pre-commit is described as lint-only here while other docs hint at broader automation; any change to hook scope must be synchronized across docs.,Conflicts,CONFLICT,"Workflow, Releases, CI (docs/workflow-and-ci.md)","Pre-commit is framed as lint-only in git-workflow while other docs imply broader automation; ADR-0005 standardizes on Ruff but does not fully define hook scope, and migration_plan.md only says linting-guide and git-workflow will be merged into workflow-and-ci, so the discrepancy about hook responsibilities remains a workflow/CI conflict."
ISS-0075,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,48,"**Python version conflict**: STYLE_1 targets Python 3.14+, but `README.md` tech stack section may reference 3.12+ in some places—needs reconciliation.",Conflicts,RESOLVED,"ADR-0001; Migration §3 (pyproject.toml, README.md)","Python version inconsistency between STYLE_1 and README is resolved by ADR-0001 (use Python 3.14+) and already implemented in the current README tech stack section and pyproject.toml requires-python>=3.14,<3.15, so the version conflict has been addressed by the migration work."
ISS-0076,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,49,"**Tooling ambiguity**: STYLE_1 lists multiple options (black OR ruff, mypy OR pyright OR pyre) but `README.md` and `AGENTS.md` only mention Ruff for formatting/linting—clarify project's actual tooling choices.",Tooling,RESOLVED,Ruff Configuration,"Resolved by standardizing on Ruff and documenting the decision in docs/code-style-guide.md and README.md; mypy is added and wired into the lint pipeline as the canonical type checker."
ISS-0077,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,50,**Type checker gap**: STYLE_1 mandates type checking in CI but `README.md` and `AGENTS.md` don't mention running mypy/pyright—determine if type checking is actually enforced.,Tooling,RESOLVED,Testing Patterns,"Resolved by adding mypy as a dev dependency, configuring mypy.ini, and extending scripts/lint.py and pre-commit to run mypy alongside Ruff, ensuring type checking is enforced locally and in CI via uv run lint."
ISS-0079,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,52,**Line length consistency**: Verify that `pyproject.toml` and Ruff configuration actually enforce 120-char limit mentioned in STYLE_1.,Conflicts,RESOLVED,Code Standards & Architecture (docs/code-style-guide.md); ADR-0005,"Resolved by codifying a 100-character line length in docs/code-style-guide.md and updating README/AGENTS references; Ruff remains configured with line-length=100, and STYLE_1's 120-character guidance is retired along with the STYLE_* docs."
ISS-0079,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,52,**Line length consistency**: Verify that `pyproject.toml` and Ruff configuration actually enforce 120-char limit mentioned in STYLE_1.,Conflicts,CONFLICT,Code Standards & Architecture (docs/code-style-guide.md); ADR-0005,"STYLE_1 mentions a 120-character line length but pyproject.toml configures Ruff with line-length=100; this is a concrete, in-repo discrepancy between documented style and enforced tooling that must be reconciled in the code-style-guide and Ruff configuration under the Code Standards & Architecture theme."
ISS-0080,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,53,**Import sorting**: STYLE_1 mentions isort or Ruff but `README.md` only mentions Ruff—confirm Ruff handles import sorting.,Gaps,RESOLVED,ADR-0005; pyproject.toml [tool.ruff.lint],"STYLE_1 mentions isort or Ruff for import sorting, while README only mentions Ruff; ADR-0005 standardizes on Ruff and pyproject.toml enables Ruff with I-select (import rules), so import sorting being handled by Ruff has been decided and reflected in configuration even if some narrative docs still lag."
ISS-0081,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,54,**Testing overlap**: STYLE_1's testing section duplicates content in `docs/TEST.md` and `docs/TESTING_ARCHITECTURE.md`—consolidate in Phase 2.,Duplicates,CONFLICT,Code Standards & Architecture,"STYLE_1 testing guidance duplicates docs/TEST.md and docs/TESTING_ARCHITECTURE.md; migration_plan.md assigns all STYLE_* docs plus TEST docs into consolidated docs/code-style-guide.md and docs/testing-guide.md under the Code Standards & Architecture and Testing & E2E themes, so this overlap must be manually resolved during consolidation."
ISS-0082,working/phase1/summaries/docs/to_integrate/STYLE_1.summary.md,55,**Lazy annotations**: STYLE_1 discusses PEP 649 implications but doesn't provide concrete examples of runtime introspection patterns—may need expansion.,Gaps,RESEARCH,Python 3.14+ Features,"STYLE_1 calls out PEP 649 lazy annotations but lacks concrete runtime introspection examples; addressing this requires researching idiomatic Python 3.14+ annotation usage and examples (e.g., annotation evaluation semantics and recommended patterns) rather than just reconciling existing docs."
ISS-0083,working/phase1/summaries/docs/to_integrate/STYLE_2.summary.md,44,"**Overlap with STYLE_1**: Significant content duplication with `docs/to_integrate/STYLE_1.md` on typing, annotations, and Python 3.14 features—consolidate in Phase 2.",Duplicates,CONFLICT,Code Standards & Architecture,"STYLE_2 significantly overlaps STYLE_1 on typing and Python 3.14 annotation guidance; migration_plan.md explicitly merges STYLE_1 and STYLE_2 into docs/code-style-guide.md in the Code Standards & Architecture theme, so the duplication must be resolved during that consolidation."
ISS-0084,working/phase1/summaries/docs/to_integrate/STYLE_2.summary.md,45,"**Draft status**: Document appears to be a conversion/adaptation rather than finalized guidance (""if you like, I can generate[ELIDED]"").",Staleness,CONFLICT,Code Standards & Architecture,"STYLE_2 is a draft/partially converted style doc; migration_plan.md treats STYLE_* as sources to merge and clean into docs/code-style-guide.md, so this draft status needs manual resolution and editing as part of the Code Standards & Architecture phase."
ISS-0085,working/phase1/summaries/docs/to_integrate/STYLE_2.summary.md,46,**Missing examples**: No concrete examples of `annotationlib.get_annotations()` usage or runtime introspection patterns.,Gaps,RESEARCH,Python 3.14+ Features,The missing concrete examples of annotationlib.get_annotations() and runtime introspection patterns in STYLE_2 represent a knowledge gap; filling it requires researching Python 3.14’s annotationlib and best-practice patterns for runtime annotation inspection.
ISS-0086,working/phase1/summaries/docs/to_integrate/STYLE_2.summary.md,47,**TypeScript heritage**: Some phrasing suggests direct translation from TypeScript docs rather than Python-native guidance.,Staleness,CONFLICT,Code Standards & Architecture,"STYLE_2’s TypeScript-derived phrasing indicates non-idiomatic and partially stale guidance; as STYLE_* docs are merged into docs/code-style-guide.md under Code Standards & Architecture, this heritage needs manual rewriting to match Python-native style."
ISS-0087,working/phase1/summaries/docs/to_integrate/STYLE_2.summary.md,48,**Incomplete coverage**: Focuses narrowly on annotation decisions without broader style context covered in STYLE_1.,Gaps,CONFLICT,Code Standards & Architecture,"STYLE_2 focuses narrowly on annotations and omits broader style context already covered by STYLE_1; during the STYLE_* → docs/code-style-guide.md consolidation, this imbalance must be resolved so that STYLE_2’s content is integrated without leaving fragmented or partial guidance."
ISS-0088,working/phase1/summaries/docs/to_integrate/STYLE_2.summary.md,49,"**No conflict with existing docs**: Unlike STYLE_1, doesn't introduce tooling or conventions that contradict `README.md`/`AGENTS.md`.",Other,RESOLVED,Migration §2 – STYLE_* → docs/code-style-guide.md,"The fact that STYLE_2 does not conflict with README/AGENTS tooling guidance is already accounted for in migration_plan.md, which merges STYLE_2 into docs/code-style-guide.md while deferring to ADR-0005 and existing Ruff-based tooling decisions; no additional work beyond the planned consolidation is required."
ISS-0089,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,51,**Overlap with to_integrate docs**: Content overlaps with `docs/to_integrate/api-patterns-guide.md` and `docs/to_integrate/fastapi-best-practices.md`—consolidate in Phase 2.,Duplicates,CONFLICT,Code Standards & Architecture,"STYLE_3 overlaps api-patterns-guide.md and fastapi-best-practices.md on FastAPI patterns and API design; migration_plan.md routes STYLE_3, api-patterns-guide, and fastapi-best-practices into docs/code-style-guide.md and docs/api.md under the Code Standards & Architecture theme, so these redundancies must be manually reconciled."
ISS-0090,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,52,**Draft status**: Document appears to be a conversion from TypeScript guidance rather than finalized Python/FastAPI documentation.,Staleness,CONFLICT,Code Standards & Architecture,"STYLE_3 is a draft-style conversion from TypeScript guidance; migration_plan.md calls for merging STYLE_3 into docs/code-style-guide.md and docs/api.md, which will require manual editing to remove draft language and ensure the resulting FastAPI guidance is final and Python-native."
ISS-0091,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,53,**ErrorCode mismatch**: Example `ErrorCode` enum may not match actual error handling in `app/contracts/metadata_contract.py` or `app/routes/metadata_router_v1.py`—audit existing code.,Testing,CONFLICT,Code Standards & Architecture,ErrorCode enum vs. actual error handling must be reconciled when STYLE_3 guidance is merged into docs/code-style-guide.md and API patterns are aligned with ADR-0004/ADR-0007; requires auditing app/contracts/metadata_contract.py and app/routes/metadata_router_v1.py for mismatches.
ISS-0092,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,54,**Service layer gap**: No mention of existing `app/services/mcp_manager.py` or how it fits the service layer pattern described.,Gaps,CONFLICT,Code Standards & Architecture,STYLE_3’s service-layer description needs to be updated to explicitly account for the existing app/services/mcp_manager.py so architecture and layering guidance in docs/architecture.md and docs/code-style-guide.md match the real code.
ISS-0093,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,55,**Router structure**: Doesn't reference existing `app/routes/metadata_router_v1.py` or explain how it aligns with recommended patterns.,Gaps,CONFLICT,Code Standards & Architecture,Router structure guidance must be reconciled with the concrete implementation in app/routes/metadata_router_v1.py when consolidating FastAPI patterns into docs/api.md and docs/code-style-guide.md.
ISS-0094,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,56,**Async patterns**: No mention of existing async patterns in `app/main.py` or `app/services/mcp_manager.py`—verify consistency.,Conflicts,CONFLICT,Code Standards & Architecture,Async usage patterns in STYLE_3 need to be checked against actual async behavior in app/main.py and app/services/mcp_manager.py to avoid conflicting recommendations when normalizing async guidance in docs/api.md and docs/code-style-guide.md.
ISS-0095,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,57,**TypeScript mapping table**: Mapping table is useful but may confuse Python-only developers—consider removing or moving to an appendix.,Other,CONFLICT,Code Standards & Architecture,"Decision about keeping, relocating, or dropping the TypeScript mapping table is a doc-structure/content choice to be resolved during STYLE_3 → docs/code-style-guide.md migration to avoid confusing Python-focused contributors."
ISS-0096,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,58,**Generic naming overlap**: `TypeVar` naming guidance duplicates STYLE_1 and STYLE_2—consolidate in single style guide.,Duplicates,CONFLICT,Code Standards & Architecture,Overlapping TypeVar naming guidance across STYLE_1/STYLE_2/STYLE_3 must be deduplicated into a single canonical section in docs/code-style-guide.md per the STYLE_* consolidation plan in the migration matrix.
ISS-0097,working/phase1/summaries/docs/to_integrate/STYLE_3.summary.md,59,"**README/AGENTS alignment**: No direct conflicts with the tooling/workflow guidance in `README.md` or `AGENTS.md`, but FastAPI/testing guidance here must stay synchronized with those docs.",Conflicts,CONFLICT,"Workflow, Releases, CI","FastAPI and testing guidance from STYLE_3 has to stay synchronized with root README.md and AGENTS.md when those are refreshed under the Workflow, Releases, CI theme, so any drift between these docs must be resolved during migration."
ISS-0098,working/phase1/summaries/docs/to_integrate/STYLE_4.summary.md,38,"**External module reference**: Mentions `ui_designer.shared_types`, which does not exist in this repository and appears to come from another project. Either remove or replace with a project-appropriate shared types module if one is introduced.",Conflicts,CONFLICT,Code Standards & Architecture,Reference to ui_designer.shared_types points at a non-existent module in this repo and must be removed or replaced with an appropriate shared-types location when integrating STYLE_4 into docs/code-style-guide.md.
ISS-0099,working/phase1/summaries/docs/to_integrate/STYLE_4.summary.md,39,"**Domain model mismatch**: Example types (`Project`, `ProjectStatus`, `DesignToken`) do not match the actual MCP metadata domain (`MetadataItem`, `FetchRequest`, etc.) defined in `app/contracts/metadata_contract.py`.",Staleness,CONFLICT,Code Standards & Architecture,"Example domain types like Project and DesignToken in STYLE_4 are stale relative to the current MCP metadata models (e.g., MetadataItem, FetchRequest) and need updating during STYLE_4 → docs/code-style-guide.md migration to reflect the real contract in app/contracts/metadata_contract.py."
ISS-0100,working/phase1/summaries/docs/to_integrate/STYLE_4.summary.md,40,"**Shared types assumption**: Assumes a shared types package for cross-service reuse, while this project is currently a single service with contracts living under `app/contracts/`.",Architecture,CONFLICT,Code Standards & Architecture,Assumption of a cross-service shared types package conflicts with the current single-service layout where contracts live under app/contracts/; architecture and style docs need to clarify if/when a shared types package will exist or drop that assumption.
ISS-0101,working/phase1/summaries/docs/to_integrate/STYLE_4.summary.md,41,"**Overlap with STYLE_1**: Repeats naming conventions (snake_case, PascalCase, UPPER_SNAKE_CASE) already covered in STYLE_1; these should be consolidated into a single style guide section.",Duplicates,CONFLICT,Code Standards & Architecture,"STYLE_4 naming rules will be merged into the single canonical `docs/code-style-guide.md` per Migration §2 (STYLE_1–8 merge), but the overlap with STYLE_1 still needs manual consolidation of sections and examples during the Code Standards & Architecture phase."
ISS-0102,working/phase1/summaries/docs/to_integrate/STYLE_4.summary.md,42,**Overlap with api-patterns-guide**: Domain modeling patterns overlap with the schemas and generics guidance in `docs/to_integrate/api-patterns-guide.md` and should be merged or cross-referenced.,Duplicates,CONFLICT,Code Standards & Architecture,"Domain modeling and generics guidance from STYLE_4 and `api-patterns-guide` are both mapped into `docs/api.md` and `docs/code-style-guide.md` in Migration §2, yet it remains a red-flag duplication that must be resolved by hand when composing the target API/style docs."
ISS-0103,working/phase1/summaries/docs/to_integrate/STYLE_4.summary.md,43,**Missing linting enforcement**: Recommends naming conventions but does not describe how they are enforced; this should be aligned with the actual configuration in `pyproject.toml` and the Ruff setup.,Gaps,CONFLICT,Code Standards & Architecture,"ADR-0005 (Ruff) and Migration §3 plan to standardize Ruff config in `pyproject.toml` and `.pre-commit-config.yaml`, but STYLE_4’s missing ‘how this is enforced’ section still requires manual alignment between the narrative style guide and the concrete Ruff rules."
ISS-0104,working/phase1/summaries/docs/to_integrate/STYLE_4.summary.md,44,**Constants vs configuration**: Treats all UPPER_SNAKE_CASE values as constants without differentiating configuration that may come from environment or settings modules such as `app/core/settings.py`.,Conflicts,CONFLICT,Code Standards & Architecture,The simplistic treatment of all UPPER_SNAKE_CASE values as constants conflicts with configuration patterns tied to `app/core/settings.py` and environment-driven settings called out in Migration §3; this needs an explicit rule in the consolidated `docs/code-style-guide.md` during Code Standards & Architecture work.
ISS-0105,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,43,"**Project structure mismatch**: The sample project layout (`api/routes/users.py`) does not match this repository, which uses `app/routes/metadata_router_v1.py` and MCP-focused services; examples should be updated to use the actual module structure.",Staleness,CONFLICT,Code Standards & Architecture,"STYLE_5’s example layout (`api/routes/users.py`) is outdated relative to the current `app/routes/metadata_router_v1.py`/MCP structure; Migration §2 only says STYLE_5 will be merged into `docs/code-style-guide.md`, so examples must be manually rewritten to match the real project topology."
ISS-0106,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,44,"**Service layer not integrated**: STYLE_5 assumes thin route handlers delegating to services, but `app/routes/metadata_router_v1.py` currently contains hardcoded logic and does not call `app/services/mcp_manager.py`, so the pattern is aspirational.",Conflicts,CONFLICT,Code Standards & Architecture,"STYLE_5 describes thin handlers delegating to services, but current code in `app/routes/metadata_router_v1.py` and `app/services/mcp_manager.py` does not yet follow that pattern; Migration §3 tracks code/config alignment separately, so this aspirational mismatch must be resolved by future refactors coordinated with the architecture/style docs."
ISS-0107,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,45,**Overlap with STYLE_6**: Function design and route handler patterns are repeated in STYLE_6's router sections; these should be consolidated into a single architecture/style document.,Duplicates,CONFLICT,Code Standards & Architecture,"Function and route handler design rules are duplicated between STYLE_5 and STYLE_6; while both are slated to merge into `docs/code-style-guide.md` in Migration §2, the exact consolidation and removal of overlapping sections still requires manual editorial decisions in the Code Standards & Architecture phase."
ISS-0108,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,46,**Overlap with api-patterns-guide**: The recommendations for thin handlers and service delegation overlap heavily with `docs/to_integrate/api-patterns-guide.md` (especially sections on routers and services).,Duplicates,CONFLICT,Code Standards & Architecture,"STYLE_5’s thin-handler/service-delegation guidance overlaps heavily with `api-patterns-guide`, and both feed into `docs/api.md`/`docs/code-style-guide.md` per Migration §2; resolving which document owns which details and eliminating repetition remains a Phase 3 consolidation task."
ISS-0109,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,47,**Overlap with fastapi-best-practices**: Async/await and concurrency guidance overlaps with `docs/to_integrate/fastapi-best-practices.md`; duplication should be reduced.,Duplicates,CONFLICT,Code Standards & Architecture,"Async/await and concurrency guidance appears both in STYLE_5 and `fastapi-best-practices.md`; Migration §2 maps both into `docs/api.md` and `docs/code-style-guide.md`, but the overlapping FastAPI best-practices content must still be de-duplicated when drafting the canonical API/style docs."
ISS-0110,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,48,"**Missing complexity enforcement details**: Suggests small functions but does not specify how tools (for example, Ruff, pylint) enforce max complexity or lines; should be aligned with `pyproject.toml`.",Gaps,CONFLICT,Code Standards & Architecture,The STYLE_5 recommendation for small functions without specifying concrete complexity limits is only partially addressed by ADR-0005 and planned Ruff standardization in `pyproject.toml`; the gap between prose guidance and enforceable Ruff (or other tool) settings must be closed explicitly during Code Standards & Architecture migration work.
ISS-0111,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,49,**Callback section relevance**: Emphasizes callback-style patterns that are less common in idiomatic Python FastAPI code; this section may be de-emphasized or simplified.,Staleness,CONFLICT,Code Standards & Architecture,"Callback-heavy patterns in STYLE_5 are being merged into the canonical code-style-guide (Migration Matrix: STYLE_5 → docs/code-style-guide.md), but the plan does not explicitly decide whether to keep or de-emphasize callbacks, so this requires a manual content decision when consolidating routing patterns."
ISS-0112,working/phase1/summaries/docs/to_integrate/STYLE_5.summary.md,50,"**File naming vs router content**: Recommends one responsibility per file, but `metadata_router_v1.py` contains multiple route functions; expectations for router modules should be clarified.",Naming,CONFLICT,Code Standards & Architecture,"The one-responsibility-per-file advice in STYLE_5 will be merged into docs/code-style-guide.md, but the migration plan does not resolve the tension with current router modules like app/routes/metadata_router_v1.py containing multiple handlers, so expectations for router file responsibilities must be clarified during Phase 3 architecture/style work."
ISS-0113,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,45,"**Major duplication with api-patterns-guide**: Large portions of STYLE_6 (project structure, routers, services, repositories, and DI) closely mirror `docs/to_integrate/api-patterns-guide.md`; these two documents should be merged rather than maintained separately.",Duplicates,CONFLICT,Code Standards & Architecture,"Migration plan routes both STYLE_6 and api-patterns-guide into docs/code-style-guide.md and docs/api.md but does not spell out how to merge overlapping sections on project structure, routers, services, and DI; this duplication needs manual consolidation when creating the canonical API/style docs."
ISS-0114,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,46,**Overlap with fastapi-best-practices**: Architectural and SOLID/clean-architecture advice overlaps with `docs/to_integrate/fastapi-best-practices.md`; content should be deduplicated or clearly scoped.,Duplicates,CONFLICT,Code Standards & Architecture,"STYLE_6 and fastapi-best-practices are both mapped to docs/api.md and docs/code-style-guide.md, yet the plan only generally says to deduplicate overlaps; the concrete conflicts between SOLID/clean-architecture advice and fastapi-best-practices must be resolved during doc merge work."
ISS-0115,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,47,"**Aspirational vs descriptive architecture**: The guide describes a mature layered architecture that is not yet implemented here (no repositories, minimal DI, hardcoded responses in `metadata_router_v1.py`), so it currently functions as a target state rather than a description of the existing system.",Staleness,CONFLICT,Code Standards & Architecture,"STYLE_6 describes a fully layered architecture (repositories, DI, non-hardcoded responses) that the current codebase does not yet implement; the migration plan positions architecture.md and code-style-guide.md as targets but leaves it to later phases to reconcile aspirational guidance with today’s simpler FastAPI app, so this mismatch requires deliberate adjustment instead of being auto-resolved."
ISS-0116,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,48,"**Database assumption**: Assumes a relational database and SQLAlchemy sessions, but this project has no concrete database setup; guidance should be made database-agnostic or clearly marked as future work.",Staleness,CONFLICT,Code Standards & Architecture,"STYLE_6 assumes a relational DB and SQLAlchemy sessions while the project currently has no concrete DB layer; although architecture and style docs will centralize such guidance, the plan does not decide whether to make database guidance agnostic or explicitly future-oriented, so content authors must resolve this when drafting architecture.md and docs/api.md."
ISS-0117,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,49,"**Missing custom exception layer**: Recommends custom business exceptions (for example, `UserNotFoundError`, `UserAlreadyExistsError`) and a centralized error-handling strategy, but the project lacks an `app/core/errors.py` or equivalent exception hierarchy.",Gaps,RESOLVED,Migration §3 – app/core/errors.py (new),"Migration Matrix (Non-Documentation Files) explicitly calls for introducing app/core/errors.py with centralized error types and HTTP mapping, and references coordinating this with logging/error-handling guidance in docs/code-style-guide.md and docs/api.md, directly addressing the missing custom exception layer."
ISS-0118,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,50,"**Dependency injection not implemented end-to-end**: Shows complete DI chains (database → repository → service), while `app/core/dependencies.py` only wires settings; integrating services and repositories via DI remains future work.",Gaps,CONFLICT,Code Standards & Architecture,"The plan notes that app/core/dependencies.py should align with DI patterns in docs/api.md and docs/architecture.md, but it does not yet define concrete end-to-end DI chains or implementation tasks for repositories/services; realizing the full DI chain remains future work that must be designed and implemented in later phases."
ISS-0119,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,51,"**Domain mismatch**: Examples reference generic User/Project domains instead of the MCP metadata domain (for example, `MetadataItem`, `FetchRequest`, and related contracts in `app/contracts/metadata_contract.py`).",Staleness,CONFLICT,Code Standards & Architecture,"STYLE_6’s User/Project examples are scheduled to be merged into docs/architecture.md and docs/api.md, but the migration plan does not specify rewriting them into MCP-specific terms like MetadataItem and FetchRequest; aligning examples with the actual metadata domain will require manual editorial work when consolidating the docs."
ISS-0120,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,52,**Overlap with STYLE_5**: Thin route handlers and service delegation rules are repeated in STYLE_5; these should be consolidated into a single set of routing/service guidelines.,Duplicates,CONFLICT,Code Standards & Architecture,"Migration plan sends both STYLE_5 and STYLE_6 into the unified code-style-guide and API docs, and explicitly calls out resolving STYLE_* duplication red flags, but it does not provide specific consolidation rules for thin route handlers and service delegation; these overlapping routing/service guidelines must be merged and normalized during Phase 3 style doc work."
ISS-0121,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,53,**Overlap with STYLE_1**: Type-hinting and docstring requirements repeat STYLE_1 guidance and should be centralized in a unified style guide.,Duplicates,RESOLVED,Migration §2 (STYLE_6 → docs/code-style-guide.md),"Type-hinting and docstring rules from STYLE_6 are explicitly slated to be merged into the single canonical docs/code-style-guide.md alongside other STYLE_* docs, which centralizes and deduplicates style guidance."
ISS-0122,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,54,"**OpenAPI tooling disconnect**: Discusses automatic OpenAPI generation but does not reference the actual tooling in this repo (`scripts/gen_openapi.py` and `openapi/openapi.json`), which should be aligned.",OpenAPI,RESOLVED,Migration §3 (scripts/gen_openapi.py & openapi/openapi.json alignment),"The migration plan’s non-doc matrix calls out scripts/gen_openapi.py and openapi/openapi.json as managed artifacts tied to ADR-0004 and the new docs/api.md, resolving the disconnect between OpenAPI guidance and the actual tooling."
ISS-0123,working/phase1/summaries/docs/to_integrate/STYLE_6.summary.md,55,"**Testing patterns vs current tests**: Mentions DI-based testing strategies and dependency overrides, but does not reference the existing testing setup (`tests/conftest.py`, `docs/TEST.md`, `docs/TESTING_ARCHITECTURE.md`), which already define how tests are structured.",Testing,RESOLVED,Migration §2 (TEST docs → docs/testing-guide.md) & §3 (tests/conftest.py alignment),"Testing strategies, including DI and dependency overrides, are being consolidated from STYLE_6, TEST.md, and TESTING_ARCHITECTURE.md into docs/testing-guide.md with corresponding updates to tests/conftest.py, aligning narrative guidance with the existing pytest setup."
ISS-0124,working/phase1/summaries/docs/to_integrate/STYLE_7.summary.md,40,**No FastAPI integration**: Guidance is written in framework-agnostic terms and does not reference FastAPI constructs like `HTTPException` or application-level exception handlers; this needs alignment with how errors are actually surfaced in `app/routes/metadata_router_v1.py` and related routers.,Gaps,CONFLICT,Code Standards & Architecture,"STYLE_7’s framework-agnostic error guidance still needs to be reconciled with concrete FastAPI patterns (HTTPException, router-level handlers) and aligned with docs/api.md and app/routes/metadata_router_v1.py behaviour during the Code Standards & Architecture phase."
ISS-0125,working/phase1/summaries/docs/to_integrate/STYLE_7.summary.md,41,"**Logging vs `print()`**: Examples rely on `print()` for error reporting, which is not appropriate for production services; these should be updated to use the project's logging approach.",Health,RESOLVED,"Migration §2 (STYLE_* → docs/code-style-guide.md, logging/error-handling) & §4 (STYLE-LOGGING red flag)","Logging vs print() is explicitly called out as a STYLE red flag and will be unified into a single logging/error-handling subsection in docs/code-style-guide.md, coordinated with centralized error handling in app/core/errors.py instead of print-based examples."
ISS-0126,working/phase1/summaries/docs/to_integrate/STYLE_7.summary.md,42,"**Custom exception placement**: The document does not specify where custom exceptions should be defined (for example, a shared `app/core/exceptions.py` module vs. per-feature exceptions); the project should standardize on a location and update references.",Code Standards & Architecture,RESOLVED,Migration §3 (app/core/errors.py new file),"The non-doc migration matrix introduces app/core/errors.py as the centralized location for error types and HTTP mappings, which standardizes where custom exceptions live and how they are referenced from style and API docs."
